text,category,label
"The average of 9 numbers is 14. If each number is increased by 4, the new average will be",Average,0
"The average of 11 consecutive numbers is n. If the next two numbers are also included, the average will.",Average,0
What is 10% of 20% of 25% of 100?,Percentage,2
Which of the following is the largest number?,Percentage,2
"If 30% of a number is 300, then 50% of that number is:",Percentage,2
"If 25% of x = 30% of y, then find the value of x if y = 5000.",Percentage,2
"A shopkeeper sold an article for Rs.2090.42. Approximately, what will be the percentage profit if he sold that article for Rs.2602.58?",Profit and Loss,1
"Acan do a certain work in the same time in which B and C together can do it. If A and B together could do it in 10 days and C alone in 50 days, then B alone could do it in:",Work and Time,3
"Present ages of Sameer and Anand are in the ratio of 5 : 4 respectively. Three years hence, the ratio of their ages will become 11 : 9 respectively. What is Anand’s present age in years?",Problems on Ages,4
The ratio between the present ages of P and Q is 5 : 7 respectively. If the difference between Q’s present age and P’s age after 6 years is 2. what is the total of P’s and Q’s present ages?,Problems on Ages,4
"Eighteen years ago, a father was three times as old as his son. Now the father is only twice as old as his son. Then the sum of the present ages of the son and the father is",Problems on Ages,4
A does 80% of a work in 20 days. He then calls in B and they together finish the remaining work in 3 days. How long B alone would take to do the whole work?,Work and Time,3
"A machine P can print one lakh books in 8 hours, machine Q can print the same number of books in 10 hours while machine R can print them in 12 hours. All the machines are started at 9 A.M. while machine P is closed at 11 A.M. and the remaining two machines complete work. Approximately at what time will the work (to print one lakh books) be finished?",Work and Time,3
"A can finish a work in 18 days and B can do the same work in 15 days. B worked for 10 days and left the job. In how many days, A alone can finish the remaining work?",Work and Time,3
"4 men and 6 women can complete a work in 8 days, while 3 men and 7 women can complete it in 10 days. In how many days will 10 women complete it?",Work and Time,3
"A and B can together finish a work 30 days. They worked together for 20 days and then B left. After another 20 days, A finished the remaining work. In how many days A alone can finish the work?",Work and Time,3
"P can complete a work in 12 days working 8 hours a day. Q can complete the same work in 8 days working 10 hours a day. If both P and Q work together, working 8 hours a day, in how many days can they complete the work?",Work and Time,3
10 women can complete a work in 7 days and 10 children take 14 days to complete the work. How many days will 5 women and 10 children take to complete the work?,Work and Time,3
X and Y can do a piece of work in 20 days and 12 days respectively. X started the work alone and then after 4 days Y joined him till the completion of the work. How long did the work last?,Work and Time,3
"A is 30% more efficient than B. How much time will they, working together, take to complete a job which A alone could have done in 23 days?",Work and Time,3
"A, B and C can complete a piece of work in 24, 6 and 12 days respectively. Working together, they will complete the same work in:",Work and Time,3
Sakshi can do a piece of work in 20 days. Tanya is 25% more efficient than Sakshi. The number of days taken by Tanya to do the same piece of work is:,Work and Time,3
"A takes twice as much time as B or thrice as much time as C to finish a piece of work. Working together, they can finish the work in 2 days. B can do the work alone in:",Work and Time,3
"A and B can do a piece of work in 30 days, while B and C can do the same work in 24 days and C and A in 20 days. They all work together for 10 days when B and C leave. How many days more will A take to finish the work?",Work and Time,3
"A works twice as fast as B. If B can complete a work in 12 days independently, the number of days in which A and B can together finish the work in:",Work and Time,3
"A can do a piece of work in 4 hours; B and C together can do it in 3 hours, while A and C together can do it in 2 hours. How long will B alone take to do it?",Work and Time,3
"A and B can complete a work in 15 days and 10 days respectively. They started doing the work together, but after 2 days, B had to leave and A alone completed the remaining work. The whole work was completed in:",Work and Time,3
"If 6 men and 8 boys can do a piece of work in 10 days while 26 men and 48 boys can do the same in 2 days, the time taken by 15 men and 20 boys in doing the same type of work will be:",Work and Time,3
"From a group of 7 men and 6 women, five persons are to be selected to form a committee so that at least 3 men are there on the committee. In how many ways can it be done?",Permutation & Combination,5
In how many different ways can the letters of the word 'LEADING' be arranged in such a way that the vowels always come together?,Permutation & Combination,5
In how many different ways can the letters of the word 'CORPORATION' be arranged so that the vowels always come together?,Permutation & Combination,5
"Out of 7 consonants and 4 vowels, how many words of 3 consonants and 2 vowels can be formed?",Permutation & Combination,5
In how many ways can the letters of the word 'LEADER' be arranged?,Permutation & Combination,5
"Ina group of 6 boys and 4 girls, four children are to be selected. In how many different ways can they be selected such that at least one boy should be there?",Permutation & Combination,5
"How many 3-digit numbers can be formed from the digits 2, 3, 5, 6, 7 and 9, which are divisible by 5 and none of the digits is repeated?",Permutation & Combination,5
"In how many ways a committee, consisting of 5 men and 6 women can be formed from 8 men and 10 women?",Permutation & Combination,5
"A box contains 2 white balls, 3 black balls and 4 red balls. In how many ways can 3 balls be drawn from the box, if at least one black ball is to be included in the draw?",Permutation & Combination,5
In how many different ways can the letters of the word 'DETAIL' be arranged in such a way that the vowels occupy only the odd positions?,Permutation & Combination,5
In how many ways can a group of 5 men and 2 women be made out of a total of 7 men and 3 women?,Permutation & Combination,5
In how many different ways can the letters of the word 'MATHEMATICS' be arranged so that the vowels always come together?,Permutation & Combination,5
In how many different ways can the letters of the word 'OPTICAL' be arranged so that the vowels always come together?,Permutation & Combination,5
"A letter lock consists of 4 rings, each ring contains 9 non-zero digits. This lock can be opened by setting a 4 digit code with the proper combination of each of the 4 rings Maximum how many codes can be formed to open the lock?",Permutation & Combination,5
How many different words can be made using the letters of the word ‘HALLUCINATION’ if all consonants are together?,Permutation & Combination,5
"If all S’s come together, then in how many ways the letters of the word “SUCCESSFUL be arranged?",Permutation & Combination,5
"In how many different ways can 6 different balls be distributed to 4 different boxes, when each box can hold any number of ball?",Permutation & Combination,5
$3~~732~~1244~~1587~~1803~~1928~~?$,Number Series,6
"Seven delegates are to address a meeting. If a particular speaker is to speak before another particular speaker, find the number of ways in which this can be arranged.",Permutation & Combination,5
"In how many ways can 15 billiard balls be arranged in a row if 3 are red, 4 are white and 8 are black?",Permutation & Combination,5
"A car owner buys petrol at Rs.7.50, Rs. 8 and Rs. 8.50 per liter for three successive years. What approximately is the average cost per liter of petrol if he spends Rs. 4000 each year?",Average,0
"In Arum’s opinion, his weight is greater than 65 kg but less than 72 kg. His brother doest not agree with Arum and he thinks that Arum’s weight is greater than 60 kg but less than 70 kg. His mother's view is that his weight cannot be greater than 68 kg. If all are them are correct in their estimation, what is the average of different probable weights of Arum?",Average,0
In how many ways can 4 books be arranged out of 16 books on different subjects?,Permutation & Combination,5
Four dice are rolled. The number of possible outcomes in which atleast o ne die shows 4 is :,Permutation & Combination,5
In how many ways can the letters of the word APPLE be arranged?,Permutation & Combination,5
In how many different ways can the letters of the word ‘RUMOUR’ be arranged?,Permutation & Combination,5
"A number plate of a vehicle has always a fixed code UP-32 for Lucknow city followed by the number of particular vehicle which is in two parts. First part is occupied by 2 English alphabets and second part is occupied by 4 digit numbers (0001, 0002, .... . If the latest registration number of vehicle [UP-32-SK- 0123] find the number of vehicles registered before this vehicle number in Lucknow.",Permutation & Combination,5
The number of positive integral solutions of abc = 42 is :,Permutation & Combination,5
$16~~24~~?~~210~~945~~5197.5~~33783.75$,Number Series,6
"A four digit number is formed with the digits 1, 3, 4, 5 without repetition. Find the chance that the number is divisible by 5 :",Permutation & Combination,5
"20 girls, among whom are A and B sit down at a round table. The probability that there are 4 girls between A and B is :",Permutation & Combination,5
The probability that the birthdays of 4 different persons will fall in exactly two calendar months is :,Permutation & Combination,5
30% of a% of b is 25% of b% of c. Which of the following is c?,Percentage,2
"20% of a number when subtracted from 108, gives the number itself. Find the number.",Percentage,2
8080 ÷ 80 ÷ 8 = ?,Simplification,7
"A bought a radio set and spent Rs.110 on its repairs. He then sold it to B at 20% profit, B sold it to C at a loss of 10% and C sold it for Rs.1188 at a profit of 10%. What is the amount for which A bought the radio set?",Profit and Loss,1
"The difference between the cost price and sale price of an article is Rs.240. If the profit is 20%, the selling price is :",Profit and Loss,1
Twenty women can do a work in sixteen days. Sixteen men can complete the same work in fifteen days. What is the ration between the capacity of a man and a woman?,Work and Time,3
"A and B can do a work in 8 days, B and C can do the same work in 12 days. A, B and C together can finish it in 6 days. A and C together will do it in:",Work and Time,3
"A can finish a work in 24 days, B in 9 days and C in 12 days. B and C start the work but are forced to leave after 3 days. The remaining work was done by A in:",Work and Time,3
X can do a piece of work in 40 days. He works at it for 8 days and then Y finished it in 16 days. How long will they together take to complete the work?,Work and Time,3
A and B can do a job together in 7 days. A is 1$\frac{3}{4}$ times as efficient as B. The same job can be done by A alone in:,Work and Time,3
P is thrice as efficient as Q and is therefore able to finish a piece of work in 60 days less than Q. Find the time in which P and Q can complete the work individually.,Work and Time,3
A tub can be filled in 20 minutes but there is a leakage in it which can empty the full tub in 60 minutes. In how many minutes it can be filled?,Work and Time,3
"A can do a piece of work in 14 days, while B can do it in 21 days. In how many days, working together, they will complete the whole work?",Work and Time,3
"In the first 10 over’s of a cricket game, the run rate was only 3.2. What should be the run rate in the remaining 40 over’s to reach the target of 282 runs?",Average,0
"A family consists of two grandparents, two parents and three grandchildren. The average age of the grandparents is 67 years, that of the parents is 35 years and that of the grandchildren is 6 ears. What is the average age of the family?",Average,0
"A grocer has a sale of Rs. 6435, Rs. 6927, Rs. 6855, Rs. 7230 and Rs. 6562 for 5 consecutive months. How much sale must he have in the sixth month so that he gets an average sale of Rs. 6500?",Average,0
"The average of 20 numbers is zero. Of them, at the most, how many may be greater than zero?",Average,0
The average weight of 8 person's increases by 2.5 kg when a new person comes in place of one of them weighing 65 kg. What might be the weight of the new person?,Average,0
"The captain of a cricket team of 11 members is 26 years old and the wicket keeper is 3 years older. If the ages of these two are excluded, the average age of the remaining players is one year less than the average age of the whole team. What is the average age of the team?",Average,0
The average monthly income of P and Q is Rs. 5050. The average monthly income of Q and R is Rs. 6250 and the average monthly income of P and R is Rs5200. The monthly income of P is:,Average,0
"The average age of husband, wife and their child 3 years ago was 27 years and that of wife and the child 5 years ago was 20 years. The present age of the husband is:",Average,0
"The average weight of A, B and C is 45 kg. If the average weight of A and B be 40 kg and that of B and C be 43 kg, then the weight of B is:",Average,0
The average weight of 16 boys in a class is 50.25 kg and that of the remaining 8 boys is 45.15 kg. Find the average weights of all the boys in the class.,Average,0
A library has an average of 510 visitors on Sundays and 240 on other days. The average number of visitors per day in a month of 30 days beginning with a Sunday is:,Average,0
"If the average marks of three batches of 55, 60 and 45 students respectively is 50, 55, 60, then the average marks of all the students is:",Average,0
A pupil's marks were wrongly entered as 83 instead of 63. Due to that the average marks for the class got increased by half $\left[\frac{1}{2}\right]$. The number of pupils in the class is:,Average,0
"There are two sections A and B of a class, consisting of 36 and 44 students respectively. If the average weight of sections A is 40 kg and that of section b is 35 kg. Find the average weight of the whole class?",Average,0
A batsman makes a score of 87 runs in the 17th inning and thus increases his averages by 3.Find his average after 17th inning?,Average,0
"A Student was asked to find the arithmetic mean of the numbers 3, 11, 7, 9, 15, 13, 8, 19, 17, 21, 14 and x. He found the mean to be 12. What should be the number in place of x?",Average,0
"David obtained 76, 65, 82, 67 and 85 marks (out in  in English, Mathematics, Physics, Chemistry and Biology. What are his average marks?",Average,0
Distance between two stations A and B is 778 km. A train covers the journey from A to B at 84 km per hour and returns back to A with a uniform speed of 56km per hour. Find the average speed of the train during the whole journey?,Average,0
The average age of boys in a class is 16 years and that of the girls is 15 years. The average age for the whole class is,Average,0
"The average age of 36 students in a group is 14 years. When teacher’s age is included to it, the average increases by one, what is the teacher's age in years?",Average,0
"The average of five numbers is 27. If one number is excluded, the average becomes 25. The excluded number is",Average,0
"The batting average for 40 innings of a cricket player is 50 runs. His highest score exceeds his lowest score by 172 runs. If these two innings are excluded, the average of the remaining 38 innings is 48 runs. The highest score of the player is",Average,0
The average score of a cricketer for ten matches is 38.9 runs. If the average for the first six matches are 42. Then find the average for the last four matches?,Average,0
"The average of six numbers is X and the average of three of these is Y. If the average of the remaining three is z, then",Average,0
A motorist travel to a place 150 km away at an average speed of 50 km/hr and returns at 30 kiv/hr. His average speed for the whole journey in kiv/hr is,Average,0
The average age of a husband and his wife was 23 years at the time of their marriage. After five years they have a one year old child. The average age of the family now is,Average,0
"In an examination, a pupil's average marks were 63 per paper. If he had obtained 20 more marks for his Geography paper and 2 more marks for his history paper, his average per paper would have been 65. How many papers were there in the examination?",Average,0
The average salary of all the workers in a workshop is Rs.8000. The average salary of 7 technicians is Rs.12000 and the average salary of the rest is Rs.6000. The total number of workers in the workshop is,Average,0
"After replacing an old member by a new member, it was found that the average age of five members of a club is the same as it was 3 years ago. What is the difference between the ages of the replaced and the new member?",Average,0
Nine persons went to a hotel for taking their meals. Eight of them spent Rs.12 each on their meals and the ninth spent Rs.8 more than the average expenditure of all the nine. What was the total money spent by them?,Average,0
The average of 25 results is 18. The average of first twelve of them is 14 and that of last twelve is 17. Find the thirteenth result.,Average,0
"A has 8 pencils, B has 10 pencils and C has 15 pencils, then the average number of pencils with them :",Average,0
"A, B, C, D, E, F are the only six families in Indira Nagar. A, B, C, D, E and F has 7, 8, 10, 13, 6 and 10 members in their families respectively. If 1 member from all the six families left their respective families to accommodate themselves in the hostel of ITM Lucknow, then the average number of members now in each family of Indira Nagar is :",Average,0
"The salary of A, B, C, D, E is Rs.8000, Rs.5000, Rs.11000, Rs.7000, Rs.9000 per month respectively, then the average salary of A, B, C, D and E per month is :",Average,0
"The average presence of students in a class on Monday, Tuesday and Wednesday is 30 and on the Wednesday, Thursday, Friday and Saturday is 28 then number of students who attended the class on Wednesday is, if the average number of students on all the six days is 27 :",Average,0
"The average salary of 12 employees of STAR plus is Rs.18,000 per month an d 15 employees of NDTV is Rs.16,000 per month. The average salary of all the 27 employees is :",Average,0
"Sri Krishna took the chariot and started his journey from Mathura to Gokul by his chariot at the speed of 40 km/hr and then, the same distance he travelled onn his foot at the speed of 10 km/hr from Gokul to Brindaban. Then he returned from Brindabann to Mathura via Gokul at the speed of 24 km/hr riding on the horse. The average speed of the whole trip is :",Average,0
The average age of 7 members of Patel’s family is 25 years. The average age of the same family 3 years ago was :,Average,0
"The average salary of A, B is Rs.6000 and that of C, D and E is Rs.8000. The average salary of all the 5 people is :",Average,0
"The average salary of Rajesh, Bahadur and Amir is Rs.8000 per month. The average expenditure of Rajesh, Bahadur and Amir per month is Rs.5000. The average savings of all the 3 persons per month is :",Average,0
The average of first five multiples of 3 is :,Average,0
"The average of the two digit numbers, which remain the same when the digits inter- change their positions, is :",Average,0
"The average score of acricketer for ten matches is 38.9 runs. If the average for the first six matches is 42, then find the average for the last four matches.",Average,0
"Of the three numbers, the first is twice the second and the second is twice the third The average of the reciprocal of the numbers is $\frac{7}{72}$ The numbers are :",Average,0
"The average temperature of the town in the first four days of a month was 58 degrees. The average for the second, third, fourth and fifth days was 60 degrees. If the temperatures of the first and fifth days were in the ratio 7 : 8, then what is the temperature on the fifth day?",Average,0
The average age of 8 men is increased by 2 years when two of them whose ages are 21 years and 23 years are replaced by two new men. The average age of the two new men is :,Average,0
"The smallest number which when diminished by 7, is divisible by 12, 16, 18, 21 and 28 is",LCM & HCF,8
"The HCF of two numbers is 11 and their LCM is 7700. If one of the numbers is 275, then the other is",LCM & HCF,8
"The product of two numbers is 4107. If the HCF of those numbers is 37, then the greater number is",LCM & HCF,8
"The greatest possible length which can be used to measure exactly the length 7m, 3m, 85cm, 12m, 95 cm is",LCM & HCF,8
"Find the greatest number that will divide 43, 91 and 183 so as to leave the same remained in each case.",LCM & HCF,8
"The G.C.D. of 1.08, 0.36 and 0.9 is",LCM & HCF,8
"A rectangular courty 3.78 metres long and 5.25 metres wide is to be paved exactly with square tiles, all of the same size. What is the largest size of the tile which could be used for the purpose?",LCM & HCF,8
The product of two numbers is 1320 and their HCF is 6. The LCM of the numbers is,LCM & HCF,8
Three numbers are in the ration 1 : 2 : 3 and their HCF is 12. The numbers are,LCM & HCF,8
Product of two co-prime numbers is 117. Their LCM should be,LCM & HCF,8
"The average of 40 numbers is 45. If two numbers, namely, 65 and 25 are discarded, the average of the remaining numbers is",Average,0
"10 years ago, the average age of a family of 4 members was 24 years. Two children having been born (with age difference of 2 years), the present average age of the family is the same. The present age of the youngest child is :",Average,0
"The average of 15 numbers is 18. If each number is multiplied by 9, then the average of the new set of numbers is",Average,0
"In a family of 5 males and a few ladies, the average monthly consumption of grain per head is 9 kg. If the average monthly consumption per head be 12 kg in the case of males and 8 kg in the case of females, find the number of females in the family.",Average,0
The maximum numbers of students among them 1001 pens and 910 pencils can be distributed in such a way that each student gets the same number of pens and same number of pencils is,LCM & HCF,8
252 can be expressed as a product of prime as,LCM & HCF,8
"Three different containers contain 496 litres, 403 litres and 713 litres of mixtures of milk and water respectively. What biggest measure can measure all the different quantities exactly?",LCM & HCF,8
The HCF of two numbers is 8. Which one of the following can never be their LCM?,LCM & HCF,8
"Let N be the greatest numbers that will divide 43, 91 and 183 so as to leave the same remained in each case.",LCM & HCF,8
Which of the following has most number of divisors?,LCM & HCF,8
Which of the following is a pair of co-primes?,LCM & HCF,8
"The HCF of 1.75, 5.6 and 7 is :",LCM & HCF,8
"The product of two numbers is 4107. If the HCF of these numbers is 37, then the greater number is :",LCM & HCF,8
"The LCM of two numbers is 45 times their HCF. If one of the numbers is 125 and the sum of HCF and LCM is 1150, the other number is :",LCM & HCF,8
"d) 20 e) None of these  The least number, which when divided by 48, 60, 72, 108 and 140 leaves 38, 50, 62, 98 and 130 as remainders respectively, is :",LCM & HCF,8
The HCF of two numbers is 12 and their difference is 12. The numbers are :,LCM & HCF,8
"The HCF and LCM of two numbers are 11 and 385 respectively. If one number lies between 75 and 125, then that number is :",LCM & HCF,8
"The least number which when increased by 5 is divisible by each one of 24, 32, 36 and 54 is:",LCM & HCF,8
"Four different electronic devices make a beep after every 30 minutes, 1 hour, 1$\frac{1}{2}$ hour and 1 hour 45 minutes respectively. All the devices beeped together at 12 noon. They will again beep together at :",LCM & HCF,8
Find the highest common factor of 36 and 84.,LCM & HCF,8
"The greatest number which can divide 1356, 1868 and 2764 leaving the same remainder 12 in each case, is :",LCM & HCF,8
"The smallest fraction, which each of $\frac{6}{7}$, $\frac{5}{14}$, $\frac{10}{21}$  will divide exactly is :",LCM & HCF,8
"The LCM of two numbers is 495 and their HCF is 5. If the sum of the numbers is 100, then their difference is",LCM & HCF,8
"The greatest number that exactly divides 105, 1001 and 2436 is :",LCM & HCF,8
A committee of five persons is to be chosen from a group of 9 people. The probability that a certain married couple will either serve together or not at all is :,Permutation & Combination,5
In how many different ways can the letters of the word ‘SOFTWARE’ be arranged in such a way that the vowels always come together?,Permutation & Combination,5
In how many different ways can the letters of the word ‘AUCTION’ be arranged in such a way that the vowels always come together?,Permutation & Combination,5
In how many ways can 21 books on English and 19 books on Hindu be placed in a row on a shelf so that two books on Hindi may not be together?,Permutation & Combination,5
Two numbers a and b are chosen at random from the set of first 30 natural numbers. The probability that a? - b? is divisible by 3 is :,Permutation & Combination,5
"From a pack of 52 cards, two are drawn one by one without replacement. Find the probabilities that both of them are kings.",Permutation & Combination,5
"My brother is 3 years elder to me. My father was 28 years of age when my sister was born while my mother was 26 years of age when I was born. If my sister was 4 years of age when my brother was born, then, what was the age of my father and mother respectively when my brother was born?",Problems on Ages,4
"A person was asked to state his age in years. His reply was, “Take my age three years hence, multiply it by 3 and then subtract three times my age three years ago and you will know how old I am.” What was the age of the person?",Problems on Ages,4
"A father said to his son, “I was as old as you are at present at the time of your birth.” If the father’s age is 38 years now, the son’s age five years back was",Problems on Ages,4
"Four years ago, the Father’s age was three times the age of his son. The total of the ages of the father and the son after four years, will be 64 years. What is the father’s age at present?",Problems on Ages,4
"A man is 24 years older than his son. In two years, his age will be twice the age of his son. The present age of the son is",Problems on Ages,4
"Qis as much younger than R as he is older than T. If the sum of the ages of R and T is 50 years, what is definitely the difference between R and Q’s age?",Problems on Ages,4
The sum of the ages of 5 children born at the intervals of 3 years each is 50 years. What is the age of the youngest child?,Problems on Ages,4
Ayesha’s father was 38 years of age when she was born while her mother was 36 years old when her brother four years younger to her was born. What is the difference between the ages of her parents?,Problems on Ages,4
"Sneh’s ago is 1/6"" of her father’s age. Sneh’s father’s age will be twice of Vimal’s age after 10 years. If Vimal’s eighth birthday was celebrated two years before, then what is Sneh’s present age?",Problems on Ages,4
"A person’s present age is two-fifth of the age of his mother. After 8 years, he will be one-half of the age of his mother. How old is the mother at present?",Problems on Ages,4
The total age of A and B is 12 years more than the total age of B and C. C is how many years younger than A?,Problems on Ages,4
"The ration between the present ages of P and Q is 6 : 7. If Q is 4 years old than P, what will be the ratio of the ages of P and Q after 4 years?",Problems on Ages,4
Rajeev’s age after 15 years will be 5 times his age 5 years back. What is the present age of Rajeev?,Problems on Ages,4
Hitesh is 40 years old and Ronnie is 60 years old. How many years ago was the ration of their ages 3 : 5?,Problems on Ages,4
"The ages of two persons differ by 16 years. If 6 years ago, the elder one be 3 times as old as the younger one, find their present ages.",Problems on Ages,4
"The present ages of three persons are in proportions 4 : 7 : 9. Eight years ago, the sum of their ages was 56. Find present age of younger brothers.",Problems on Ages,4
Rajan got married 8 years ago. His present age is 6/5 times his age at the time of his marriage. Rajan’s sister was 10 years younger to him at the time of his marriage. The age of Rajan’s sister is,Problems on Ages,4
"The ratio between the present ages of P and Q is 6 : 7. If Q is 4 years old than P, what will be the ratio of the ages of P and Q after 4 years?",Problems on Ages,4
Present ages of X and Y are in the ratio 5 : 6 respectively. Seven years hence this ratio will become 6 : 7 respectively. What is X’s present age in years?,Problems on Ages,4
The ratio of the father’s age to his son’s age is 7 : 3. The product of their ages is 756. The ratio of their ages after 6 years will be :,Problems on Ages,4
"The age of father 10 years ago was thrice the age of his son. Ten years hence, father’s age ill be twice that of his son. The ratio of their present ages is :",Problems on Ages,4
"The difference between the ages of two persons is 10 years. Fifteen years ago, the elder one was twice as old as the younger one. The present age of the elder person is:",Problems on Ages,4
"Father is aged three times more than his son Ronit. After 8 years, he would be two and a half times of Ronit’s age. After further 8 years. how many times would he be of Ronit’s age?",Problems on Ages,4
"The product of the ages of Ankit and Nikita is 240. If twice the age of Nikita is more than Ankit’s age by 4 years, what is Nikita’s age?",Problems on Ages,4
"The ratio of the ages of a man and his wife is 4 : 3. After 4 years, this ratio will be 9 : 7. If at the time of marriage, the ratio was 5 : 3, then how many years ago were they married?",Problems on Ages,4
"Pooja, Shipra and Monika are three sisters. Pooja and Shipra are twins. The ratio of sum of the ages of Pooja and Shpra is same as that of Monika alone. Three years earlier theratio of age of Pooja and Monika was 2 : 7. What will be the age of Shipra 3 years hence?",Problems on Ages,4
"At present, the ratio between the ages of Arun and Deepak is 4 : 3. After 6 years, Arun’s age will be 26 years. What is the age of Deepak at present?",Problems on Ages,4
"The ratio between the school ages of Neelam and Shaan is 5 : 6 respectively. If the ratio between the one-third age of Neelam and half of Shaan’s age is 5 : 9, then what is the school age of Shaan?",Problems on Ages,4
"Reena and Shaloo are partners in a business. Reena invests Rs. 35,000 for 8 months and shaloo invests Rs.42,000 for 10 months. Out of a profit of Rs.31,570. Reena's share is",Partnership,9
"Aman started a business investing Rs.70,000. Rakhi joined him after six months with an amount of Rs.1,05,000 and Sagar joined them with Rs.1.4 lakhs after another six months. The amount of profit earned should be distributed in what ratio among Aman, Rakhi and Sagar respectively, 3 years after Aman started the business?",Partnership,9
"P and Q started a business investing Rs.85,000 and Rs. 15,000 respectively. In what ratio the profit earned after 2 years be divided between P and Q respectively?",Partnership,9
"Simran started a software business by investing Rs.50,000. After six months, Nanda joined her with a capital of Rs.80,000. After 3 years, they earned a profit of Rs.24,500. What was Simran's share in the profit?",Partnership,9
"A and B started a partnership business investing some amount in the ratio of 3 : 5. C joined them after six months with an amount equal to that of B. In what proportion should the profit at the end of one year be distributed amount A, B and C?",Partnership,9
"Anand and Deepak started a business investing Rs.22,500 and Rs.35,000 respectively. Out of a total profit of Rs. 13,800. Deepak's share is",Partnership,9
"Kamal started a business investing Rs.9000. After five months, Sameer joined with a capital of Rs.8000. If at the end of the year, they earn a profit of Rs.6970, then what will be the shares of sameer in the profit?",Partnership,9
"Murugan, Prasanna and Arun invested Rs.8000, Rs.4000 and Rs.8000 respectively in a business. Arun left after six months .If after eight months, there was a gain of Rs.4005, then what will be the share of Prasanna?",Partnership,9
"A, B and C enter into a partnership. They invest Rs.40,000, Rs.80,000 and Rs.1,20,000 respectively. At the end of the first year, B withdraws Rs.40,000 while at the end of the second year, C withdraws Rs.80,000. In what ratio will the profit be shared at the end of 3 years?",Partnership,9
"A starts a business with Rs.3500 and after 5 months, B joins with A as his partner. After a year, the profit is divided in the ratio 2 : 3. What is B’s contribution in the capital?",Partnership,9
"A started a business with Rs.21,000 and is joined afterwards by B with Rs.36,000. After how many months did B join if the profits at the end of the year are divided equally?",Partnership,9
"X and Y invested in a business. They earned some profit which they divided in the ratio of 2 : 3. If X invested Rs.40,000. the amount invested by Y is",Partnership,9
"A and B started a business in partnership investing Rs.20,000 and Rs.15,000 respectively. After six months, C joined them with Rs.20,000. What will be B's share in the total profit of Rs.25,000 earned at the end of 2 years from the starting of the business?",Partnership,9
"A, B, C hired a car for Rs.520 and used it for 7,8 and 11 hours respectively. Hire charges paid by B were",Partnership,9
